Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/13/2021,257,2,16,28,66,62,42,32,20,4,3,0,130,127,0,68,3,53,97,16,20,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,1,3,4,5,1,0,9,7,0,3,0,9,3,1,0
03/17/2020,96,1,24,0,15,21,18,17,19,2,4,0,37,59,0,9,2,39,41,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,5,7,3,3,0,7,17,0,4,0,16,4,0,0
01/05/2022,6816,22,269,1211,1573,1292,926,814,563,280,156,1,3747,3058,11,1699,313,1432,1535,412,1425,0,0,0,3,4,1,2,12,0,7,15,0,4,1,9,8,0,0,9,21,26,17,45,65,42,44,0,135,134,0,50,3,149,51,14,2
06/29/2020,279,7,31,22,89,55,36,40,17,9,11,0,137,140,2,112,4,67,64,6,26,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,3,4,5,7,1,6,0,12,19,0,14,0,11,5,0,1
06/14/2021,67,3,9,10,14,22,7,9,4,1,0,0,37,30,0,22,2,24,6,2,11,0,0,0,0,1,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0,1,1,4,1,2,0,0,5,4,0,2,0,4,2,1,0
03/28/2020,248,4,131,2,27,54,36,44,38,28,19,0,138,110,0,37,7,142,44,9,9,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,1,0,0,1,5,10,18,33,21,22,21,0,69,62,0,22,2,85,16,6,0
11/15/2020,834,13,124,86,191,160,139,110,84,35,28,1,443,391,0,250,30,161,269,41,83,0,0,0,0,0,5,4,4,0,7,6,0,7,1,4,1,0,0,4,8,8,17,13,25,26,23,0,70,54,0,44,2,52,19,5,2
06/24/2022,829,1,38,111,187,147,127,104,76,48,29,0,459,368,2,192,56,183,236,40,122,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,3,2,4,7,8,8,0,25,13,0,11,2,14,10,1,0
11/11/2020,2490,9,128,267,682,515,360,321,212,79,54,0,1306,1174,10,753,90,457,719,118,353,0,0,0,0,1,5,1,2,0,3,6,0,5,0,2,2,0,0,2,11,7,14,21,28,19,26,0,71,57,0,30,2,52,36,5,3
08/24/2020,554,3,24,91,134,111,96,66,31,18,7,0,292,258,4,297,10,69,131,20,27,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,1,0,0,3,3,4,2,4,3,2,3,0,8,16,0,8,1,7,6,2,0
06/26/2021,20,0,4,3,4,8,3,0,2,0,0,0,11,9,0,6,2,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,1,0,2,0,2,0,0,0
08/07/2022,420,3,41,57,84,92,63,57,38,17,12,0,237,183,0,114,34,119,91,8,54,0,0,0,0,1,0,0,2,0,1,2,0,1,0,1,1,0,0,3,3,3,6,4,8,6,8,0,26,15,0,14,0,18,8,0,1
12/04/2021,611,4,80,124,150,124,68,67,37,21,20,0,331,278,2,115,22,148,181,43,102,0,0,0,0,1,2,0,1,0,1,3,0,0,0,3,1,0,0,0,7,10,7,16,10,16,14,0,41,39,0,18,1,34,22,5,0
10/23/2021,222,2,19,37,40,58,24,27,21,7,8,0,110,112,0,43,7,60,83,14,15,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,4,4,3,3,0,9,10,0,4,0,6,7,1,1
04/27/2020,1157,35,169,42,234,201,231,207,125,53,64,0,584,573,0,601,27,240,136,50,103,0,0,0,1,3,4,14,13,0,11,24,0,8,1,19,7,0,0,1,10,9,16,39,37,20,37,0,78,91,0,58,4,71,28,8,0
08/13/2020,390,4,24,39,118,78,72,40,24,11,8,0,211,177,2,188,8,72,94,14,14,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,4,2,5,0,6,5,2,0,15,9,0,8,0,11,3,2,0
10/04/2021,428,3,23,105,84,79,53,48,32,22,5,0,211,216,1,76,18,124,140,23,47,0,0,0,0,0,2,1,0,0,1,2,0,1,0,0,2,0,0,0,4,5,2,4,3,2,3,0,14,9,0,6,0,8,7,2,0
10/17/2020,547,5,44,70,139,115,95,58,45,15,10,0,275,272,0,236,16,76,156,22,41,0,0,0,1,0,1,0,3,0,2,3,0,3,0,2,0,0,0,2,7,4,5,4,9,6,7,0,31,13,0,15,2,19,7,1,0
06/07/2021,103,9,16,21,20,11,19,14,10,6,2,0,53,50,0,34,3,37,18,3,8,0,0,0,1,4,2,1,1,0,3,6,0,5,0,4,0,0,0,1,0,0,4,5,2,3,1,0,12,4,0,5,0,8,3,0,0
12/20/2021,5813,13,134,817,1715,1431,835,531,295,126,61,2,3111,2681,21,824,189,1608,1729,441,1022,0,0,0,0,2,4,5,2,0,5,8,0,2,1,5,5,0,0,2,11,11,9,38,30,21,12,0,61,73,0,30,3,69,25,4,3
